Player,Age,Passport country,Position,League,Minutes played,Assists per 90,Back passes per 90,Crosses per 90,Crosses to goalie box per 90,Deep completed crosses per 90,Deep completions per 90,Defensive duels per 90,Dribbles per 90,Duels per 90,Forward passes per 90,Goals,Goals per 90,Interceptions per 90,Key passes per 90,Long passes per 90,Matches played,Passes per 90,Passes to final third per 90,Passes to penalty area per 90,Progressive passes per 90,Progressive runs per 90,Received long passes per 90,Received passes per 90,Second assists per 90,Shot assists per 90,Shots blocked per 90,Shots per 90,Sliding tackles per 90,Successful attacking actions per 90,Successful defensive actions per 90,Through passes per 90,Touches in box per 90,xA,xA per 90,xG,xG per 90
N. Zrihan,28,Israel,"RW, RWF, RAMF",Ligat Haal,543,0,5.54,3.29,0.35,1.38,1.38,8.65,7.27,25.96,7.79,2,0.33,1.9,0.69,2.42,17,26.83,2.6,4.67,5.71,2.94,1.73,18.52,0.17,2.6,0,3.29,0.35,6.92,7.96,1.73,3.29,1.86,0.32,0.88,0.15
Y. Tello,33,"Peru, Japan","LDMF, DMF, LCMF",Peru 1,1106,0,2.69,0.16,0,0.08,0.24,8.63,0.57,15.38,12.21,2,0.16,4.88,0,4.07,15,34.99,5.13,0.41,5.13,0.16,0.16,24.49,0.08,0,0.41,0.57,0.9,0.73,10.58,0.16,0.33,0,0,0.97,0.08
Martim Tavares,19,Portugal,"CF, AMF",Portugal 1,481,0,3.56,0.94,0.19,0.19,0.19,3.93,1.68,19.09,1.87,2,0.37,2.25,0,0.19,22,11.79,0.37,1.31,1.12,0.94,0.37,8.79,0,0.37,0,0.94,0.19,1.68,4.86,0.19,1.68,0.14,0.03,1.56,0.29
Capita,21,Angola,"RW, LW",Portugal 2,495,0,5.45,3.09,0.91,0.91,1.09,5.64,6.91,28,2.36,2,0.36,2.91,1.09,1.09,11,18,0.55,3.09,3.45,3.09,0.73,12,0,1.27,0,3.45,0.36,6,6.36,1.27,4.91,0.76,0.14,2.18,0.4
Z. Banjaqui,24,"Portugal, Guinea-Bissau","RCMF, LCMF, AMF",Portugal 2,654,0,6.61,0.83,0,0.14,1.1,5.92,3.17,21.74,8.81,2,0.28,0.96,0.55,1.93,12,34.54,7.29,3.03,5.37,2.34,0.69,26.28,0,1.24,0.14,2.06,0,3.58,3.99,0.96,1.79,0.5,0.07,2.15,0.3
L. Fülöp,25,"Romania, Hungary","CF, LW, RW",Romania 1,1274,0,4.8,0.42,0,0.07,0.92,4.38,1.77,17.66,6.71,2,0.14,3.6,0.14,0.71,25,22.75,2.68,1.41,3.04,0.49,0.92,17.31,0,0.57,0.14,1.48,0.21,1.62,6.43,0.78,3.04,0.48,0.03,3.1,0.22
K. Koubemba,30,"France, Congo","CF, AMF",Romania 1,856,0,4.63,0.53,0.11,0.21,0.53,3.89,1.89,23.76,4.1,2,0.21,2.1,0,0.63,14,17.56,1.68,0.63,1.68,0.42,2,11.99,0,0,0,1.58,0.11,1.16,4.31,0.63,1.79,0,0,2.18,0.23
L. Dumitriu,30,Romania,"RCMF, RW",Romania 1,1566,0,7.18,2.01,0.17,0.46,0.52,7.76,1.09,17.13,7.24,2,0.11,4.37,0.34,2.53,35,29.77,3.05,1.9,4.83,1.09,1.26,19.6,0,0.69,0.17,1.21,0.29,1.38,8.79,0.52,1.44,0.65,0.04,1.07,0.06
T. Shypunov,19,Russia,"AMF, RWF, LWF",Russia 1,436,0,7.22,0.62,0.21,0.41,0.83,5.57,2.27,20.02,7.22,2,0.41,2.89,0.62,1.03,15,30.96,2.27,1.86,2.89,2.68,0.83,21.67,0.21,1.03,0.21,0.62,0,2.06,5.16,0,3.1,0.25,0.05,0.33,0.07
I. Bašić,21,Bosnia and Herzegovina,"RCMF, LCMF, AMF",Russia 1,779,0,5.2,0.35,0,0.12,0.35,7.16,2.54,17.56,10.05,2,0.23,3.23,0.12,2.31,15,32,3.93,1.16,3.23,1.62,0,22.53,0,0.92,0.46,2.43,0.23,2.66,7.39,0.35,0.35,1.05,0.12,1.21,0.14
S. Dimić,29,Serbia,"AMF, RCMF",Serbia 1,1015,0,6.12,1.6,0.27,0.44,0.53,5.14,4.88,23.94,6.21,2,0.18,2.22,0.44,0.62,15,23.76,3.37,1.51,2.84,2.04,1.15,14.36,0,1.06,0.27,1.06,0,3.46,5.05,0.27,2.39,1.7,0.15,2.26,0.2
T. Bondarenko,30,"Ukraine, Turkmenistan","RCB, CB",Serbia 1,1063,0,1.44,0.08,0.08,0,0.08,3.73,0.08,10.16,9.99,2,0.17,5.67,0,4.74,11,26.16,2.62,0.08,4.57,0.17,0.08,14.22,0,0,0.42,0.59,0.17,0.25,8.04,0.08,1.1,0,0,1.85,0.16
G. Chinedu,25,Nigeria,CF,Serbia 1,503,0,5.01,1.43,0.72,0.18,0.54,2.33,2.33,25.77,1.61,2,0.36,1.43,0.54,0.36,8,15.21,0.72,0.89,0.54,1.79,3.04,9.3,0,0.72,0.18,1.97,0.18,2.86,2.33,0.18,4.83,0.28,0.05,1.64,0.29
Francisco Portillo,32,Spain,"LW, RCMF, RW",Spain 1,514,0,9.81,1.23,0,0.18,1.4,4.2,1.93,12.61,17.51,2,0.35,2.28,0.35,6.13,17,48.68,7.35,3.85,6.83,1.93,0.7,32.57,0,0.53,0.18,0.7,0,1.23,5.25,2.63,1.4,0.29,0.05,0.42,0.07
H. Seferović,31,"Switzerland, Bosnia and Herzegovina",CF,Spain 1,513,0,5.26,1.75,0.53,0.18,0.35,1.58,1.05,15.09,3.16,2,0.35,1.4,0.18,1.05,9,18.42,1.58,1.23,1.93,1.23,0.35,10.18,0,0.35,0,1.23,0,1.75,2.28,0.35,2.63,0.36,0.06,1.72,0.3
I. Jansson,21,Sweden,"LAMF, RAMF",Spain 2,1069,0,5.64,2.78,0.08,1.09,0.93,5.81,3.87,21.22,4.55,2,0.17,2.69,0.51,1.77,25,22.23,1.68,2.1,3.62,2.36,1.52,15.07,0,1.18,0.08,1.68,0.25,3.96,6.48,0,2.27,1.67,0.14,1.57,0.13
Germán Valera,21,"Spain, Venezuela","RWF, RW, LWF",Spain 2,1807,0,9.21,2.24,0.4,0.45,0.9,3.69,7.77,22.36,4.63,2,0.1,2.59,0.35,0.85,29,27.29,0.55,2.19,3.04,3.49,2.69,22.06,0.05,0.9,0.05,1.44,0.25,5.08,5.08,0.35,2.79,0.96,0.05,3.02,0.15
Jason,28,Spain,"RAMF, RW",Spain 2,1256,0,2.79,3.22,0.5,1,0.5,5.8,3.94,19.92,4.59,2,0.14,2.65,0.5,1.5,24,17.91,1.79,2.44,3.08,0.64,1.29,11.04,0.07,1.15,0,1.86,0,3.87,6.31,0.21,1.86,1.42,0.1,2.82,0.2
José Ángel Carrillo,29,"Spain, Philippines",CF,Spain 2,875,0,3.09,0,0,0,0,1.54,0.82,37.44,4.53,2,0.21,1.34,0,0.72,18,12.55,2.37,0.93,0.72,0.41,1.23,5.04,0.1,0,0.21,0.82,0.21,0.62,2.16,0.41,1.75,0,0,1.68,0.17
José Gragera,22,Spain,"LCMF, LDMF, LCB",Spain 2,1301,0,5.95,0,0,0,0.07,8.58,0.42,21.58,13.14,2,0.14,6.36,0,2.01,17,41.64,4.43,0.07,5.81,0.55,0.14,23.31,0,0.07,0.42,0.97,0.28,0.69,12.38,0.14,0.9,0,0,2.27,0.16
G. Bayrakdar,21,Turkey,RAMF,Turkey 1,509,0,6.72,0.71,0,0,1.24,5.3,4.24,23.69,3.54,2,0.35,3.71,0,0.71,13,21.04,2.3,0.71,2.83,1.59,1.77,14.32,0,0.88,0.18,1.24,0,2.3,6.9,0,3.36,0.18,0.03,1.77,0.31
B. Assombalonga,30,"Congo DR, England",CF,Turkey 1,477,0,2.83,0.38,0.19,0,0.38,1.32,4.15,15.47,1.89,2,0.38,1.89,0.19,0.38,12,8.49,0.38,0.38,0.38,1.51,0.75,7.74,0,0.75,0,2.64,0,2.83,2.26,0.19,3.77,0.13,0.02,2.66,0.5
M. Shestakov,33,Ukraine,CF,Ukraine 1,414,0,3.91,0.43,0,0,0.43,4.78,1.3,29.78,3.91,2,0.43,1.3,0.22,0,15,14.35,1.74,0.22,1.3,0.43,1.3,7.61,0,0.43,0,1.3,0.65,1.09,6.3,0,3.48,0.19,0.04,1.73,0.38
G. Gabedava,33,Georgia,CF,Liga Leumit,969,0,3.69,0.1,0,0,0.92,2.98,0.62,20.52,5.23,3,0.28,1.33,0.1,0.72,12,17.24,2.98,0.51,1.95,0.21,2.46,11.8,0.1,0.72,0.1,2.05,0.1,1.74,2.46,0.31,3.18,0.47,0.05,2.18,0.22
D. Gomis,30,"France, Senegal","LAMF, LW, RAMF",Azerbaijan 1,1408,0,7.93,1.09,0.32,0.32,0.51,3.71,6.97,21.8,5.88,3,0.19,1.53,0.26,1.15,18,27.55,1.41,0.89,2.81,3.13,0.7,19.37,0.06,0.77,0,1.47,0.26,5.05,3.9,0.26,1.73,0.75,0.05,1.26,0.08
K. Aboubakar,27,Ghana,CF,Azerbaijan 1,1440,0,4.19,0.31,0.06,0.13,0.75,3.06,1.94,25.75,3.56,3,0.19,1.88,0.38,1,18,16.88,1.94,0.81,1.5,0.69,1.56,12.19,0.06,0.63,0.19,1.25,0.19,1.69,3.88,0.38,3.19,1,0.06,4.14,0.26
M. Coureur,35,"Martinique, France","CF, LAMF",Bulgaria 1,1042,0,6.13,1.04,0.17,0.43,0.69,2.68,2.68,20.38,4.4,3,0.26,1.04,0.26,0.86,18,20.12,2.16,1.12,1.38,0.52,1.47,12.7,0.09,0.52,0.09,2.42,0,2.68,2.5,0.43,4.66,0.91,0.08,2.79,0.24
Luan,27,Brazil,"RCB, LCB",Bulgaria 1,966,0,2.52,0,0,0,0.09,5.68,0.19,10.53,10.06,3,0.28,4.75,0,2.7,16,27.95,2.98,0,5.12,0.09,0.37,17.52,0,0.19,0.75,0.56,0.19,0.47,9.32,0,0.84,0.09,0.01,1.08,0.1
G. Donyoh,28,Ghana,"RW, CF, RWF",Cyprus 1,417,0,4.96,2.16,0,0.43,1.73,5.61,3.45,16.4,6.91,3,0.65,1.51,0.22,3.67,8,21.37,2.81,4.1,3.88,0.86,1.73,14.24,0.22,0,0,2.59,0,3.24,5.4,1.29,2.81,0,0,1.69,0.36
J. Duin,24,Netherlands,CF,Denmark1,480,0,6.19,0.94,0.38,0.56,0,2.25,1.13,23.25,2.44,3,0.56,0.75,0.38,0.94,15,18.19,1.5,0.75,1.69,1.13,2.63,12.38,0,0.56,0.19,2.06,0,2.06,2.25,0.38,3.75,0.04,0.01,1.66,0.31
M. Dembélé,26,"France, Mali",CF,France 1,942,0,5.45,0.38,0,0,1.24,2.68,1.15,20.16,3.25,3,0.29,1.43,0.19,0.29,22,16.72,1.05,1.53,1.24,0.76,1.82,11.85,0.19,0.38,0.29,2.48,0.29,1.62,3.25,0.19,4.01,0.24,0.02,5.32,0.51
K. Wriedt,28,"Germany, Ghana",CF,Germany 2,1355,0,2.72,1.73,0.2,0.73,0.53,3.85,4.45,37.73,1.59,3,0.2,1.26,0.27,0.2,26,12.29,1.33,1.33,1.53,0.93,1,6.11,0,0.73,0.13,2.52,0,4.32,2.86,0.13,4.18,0.89,0.06,6.79,0.45
P. Gladon,31,Netherlands,"CF, AMF",Holland 1,920,0,3.91,1.08,0.2,0.2,0.68,2.64,0.78,28.96,3.33,3,0.29,1.76,0.2,0.78,19,15.65,1.17,1.47,1.08,0.39,2.35,10.37,0,0.49,0.1,1.66,0.1,1.47,3.13,0.2,4.4,0.22,0.02,2.58,0.25
P. van Amersfoort,26,Netherlands,"AMF, CF, LCMF",Holland 1,792,0,5.23,0.68,0,0.11,0.91,5.23,1.82,25.57,7.27,3,0.34,2.73,0,0.45,11,24.43,3.52,1.36,3.75,0.91,3.07,16.25,0.11,0.8,0.11,2.73,0,2.61,6.02,0.68,3.86,0.46,0.05,2.88,0.33
Dawhan,26,Brazil,"LCMF, RCMF, RDMF",Japan 1,1132,0,6.6,0.56,0.08,0.24,0.72,6.52,1.03,20.43,10.1,3,0.24,4.21,0,1.51,15,39.43,3.74,1.51,4.13,0.87,0.16,28.86,0,0.56,0.32,1.59,0.16,1.59,8.11,0.56,2.07,0.23,0.02,2.19,0.17
J. Shalloufy,20,Israel,"RW, CF, LAMF",Liga Leumit,575,0,2.35,1.1,0,0.31,1.41,4.7,5.79,23.48,4.7,3,0.47,1.25,0.31,0.63,14,15.5,1.41,2.03,2.5,2.5,2.19,12.99,0,0.94,0,2.66,0.31,4.7,4.54,0.31,3.13,0.25,0.04,2.48,0.39
A. Knani,21,Israel,"CF, LW, LWF",Liga Leumit,1007,0,4.94,1.58,0.21,0.63,0.53,4.1,2.73,20.71,3.36,3,0.27,1.47,0.53,2,17,17.56,1.68,1.68,2.31,0.74,2,11.57,0,0.63,0,2,0.42,2.52,4.21,0.21,4.1,1.21,0.13,2.3,0.24
Alejandro Marqués,22,"Venezuela, Spain",CF,Portugal 1,722,0,3.24,0,0,0,0,4.61,1.87,25.3,1.62,3,0.37,1.62,0,0,15,10.1,1,0.12,0.87,0.5,1.75,6.86,0,0,0.25,1,0.37,1,3.99,0.12,1.75,0,0,1.85,0.23
M. Oliveira,28,"Brazil, Portugal","LCMF, CF",Portugal 2,1504,0,7.54,1.14,0.24,0.3,0.78,5.45,1.14,15.62,11.07,3,0.18,3.29,0.24,3.29,27,41.47,6.52,1.97,5.98,1.02,0.9,30.52,0.06,1.44,0.12,2.09,0.3,2.39,6.94,0.78,1.44,3.26,0.2,1.77,0.11
Kady,27,Brazil,"RCMF, RWF, RAMF",Russia 1,475,0,8.34,0.95,0,0.38,1.33,5.68,5.49,21.6,15.73,3,0.57,2.46,0.38,4.36,7,43.96,8.91,2.84,11.94,1.52,1.14,33.73,0.19,1.33,0,2.08,0.19,6.06,4.74,3.22,2.65,0.87,0.16,1.53,0.29
M. Škrbić,27,"Serbia, Bosnia and Herzegovina",CF,Serbia 1,418,0,5.17,0,0,0,0.86,1.72,1.94,20.45,2.15,3,0.65,1.51,0.43,0.65,11,19.38,2.37,0.22,0.86,0.43,1.72,10.98,0,0.86,0,1.94,0.22,2.37,2.8,0,3.44,0.49,0.1,2.19,0.47
S. Marjanović,35,Serbia,"RCMF, RDMF, AMF",Serbia 1,1304,0,7.56,3.41,0.52,0.96,1.26,5.49,1.71,18.46,18.24,3,0.21,3.11,0.3,7.34,23,51.67,10.01,5.04,8.01,1.63,0.96,36.4,0.15,1.04,0.07,2.3,0.52,2.82,7.04,1.56,2.22,1.84,0.14,2.24,0.17
Lucas Vázquez,31,Spain,RB,Spain 1,748,0,10.11,3.13,0.48,0.48,1.93,6.38,1.44,13.11,11.55,3,0.36,3.25,0.12,2.53,14,54.87,3.73,3.61,5.66,1.93,3.85,44.88,0,1.2,0,1.08,0.24,2.17,7.22,0.72,3.25,0.83,0.1,1.13,0.14
Rafa Mir,25,Spain,CF,Spain 1,914,0,5.61,0.69,0.1,0.1,0.39,2.66,1.48,16.64,2.36,3,0.3,1.58,0.3,0.3,17,14.87,0.69,0.89,1.18,0.39,1.87,11.32,0,0.39,0,2.76,0.1,1.58,3.15,0.1,4.04,1.33,0.13,4.81,0.47
Dani Queipo,21,Spain,"LW, LAMF",Spain 2,1548,0,6.34,1.69,0.35,0.47,0.47,7.09,4.59,22.44,6.1,3,0.17,3.55,0.17,0.93,26,24.83,2.44,1.45,3.14,1.74,1.16,16.34,0.17,0.58,0.06,0.81,0.12,3.26,7.38,0.58,2.5,1.23,0.07,0.8,0.05
Iván Gil,23,Spain,LCMF,Spain 2,1306,0,11.16,3.03,0.83,1.86,0.76,4.34,2.69,14.26,11.03,3,0.21,1.17,0.34,3.1,21,50.1,6,3.93,6.48,3.1,1.03,41.97,0,1.24,0.07,2.96,0.34,4.75,4.55,0.62,1.38,2,0.14,2.25,0.16
Sebas Moyano,26,Spain,"LW, CF, AMF",Spain 2,2346,0,3.84,1.61,0.27,0.42,0.31,4.99,6.18,20.14,4.26,3,0.12,3.26,0.27,0.88,32,15.81,1.53,1.57,2.11,1.5,1.57,9.25,0,0.61,0.04,2.19,0.35,4.49,6.1,0.42,2.26,1.9,0.07,4.73,0.18
Lago Júnior,32,Côte d'Ivoire,"LW, RW",Spain 2,928,0,4.95,2.81,0.39,0.97,0.48,5.04,7.08,32.2,3.69,3,0.29,2.81,0.78,0.58,11,21.53,1.36,2.72,2.42,2.42,1.84,13.67,0.1,0.68,0.19,1.75,0.1,5.24,4.95,0.19,2.72,0.89,0.09,1.83,0.18
F. Schubert,28,Austria,"AMF, CF",Switzerland 1,409,0,2.2,1.32,0,0,1.98,5.06,0.88,19.36,6.82,3,0.66,4.62,0.22,0.88,7,20.02,2.86,2.64,2.2,0.88,1.98,17.16,0,0.88,0.44,3.96,0.22,3.3,8.14,0.66,6.16,0.36,0.08,2.09,0.46
E. Koulouris,27,Greece,CF,Turkey 1,552,0,8.15,0.49,0,0,0.33,2.93,1.79,20.87,3.42,3,0.49,1.96,0,0.49,10,20.54,0.98,0.49,1.79,0.65,1.96,13.53,0,0.16,0.33,1.47,0,1.79,3.26,0.16,2.93,0.04,0.01,2.51,0.41
G. Donyoh,28,Ghana,"CF, RAMF",Azerbaijan 1,1279,0,4.15,1.06,0.35,0.21,1.34,3.38,2.67,15.9,3.24,4,0.28,1.48,0.49,0.7,15,18.51,1.34,2.25,1.41,0.49,1.62,12.88,0,1.06,0.07,2.18,0,2.11,3.52,0.84,4.08,1.61,0.11,4.28,0.3
K. Fućak,24,Croatia,"CF, LAMF",Croatia 1,815,0,3.42,3.75,0.33,0.99,0.77,5.41,5.63,31.91,4.2,4,0.44,3.53,0.33,1.55,14,18.11,1.88,3.2,3.42,2.21,2.43,10.93,0.11,0.33,0.11,1.21,0.77,4.64,7.4,0.33,2.1,0.12,0.01,1.85,0.2
N. Kalinić,35,Croatia,CF,Croatia 1,406,0,4.43,0,0,0,1.55,3.33,0.67,20.62,1.55,4,0.89,0.89,0.22,0.22,15,11.97,0.67,0.22,0.89,0.22,1.77,9.31,0,0.67,0,2,0.67,1.55,2.88,0,5.76,0.2,0.04,2.42,0.54
R. Pukštas,18,"United States, Lithuania","RW, RAMF, RCMF",Croatia 1,1039,0,4.85,1.04,0.09,0.26,0.35,6.06,1.73,26.59,5.89,4,0.35,3.64,0.09,0.78,16,22.52,1.99,0.78,2.95,1.13,0.95,11.87,0,0.35,0.35,1.21,0.43,1.56,7.1,0.17,2.17,0.69,0.06,2.26,0.2
Miguelito,33,Portugal,"AMF, LCMF, RCMF",Cyprus 1,1452,0,5.33,0.74,0,0.31,0.62,3.04,0.93,8.43,7.87,4,0.25,0.99,0.12,3.6,26,31.67,4.59,1.24,4.03,0.68,1.43,22.19,0.06,0.37,0,0.74,0,1.18,2.79,0.31,0.81,0.95,0.06,2.28,0.14
J. Larsson,25,"Netherlands, Sweden","CF, RWF",Denmark1,703,0,8.58,0.77,0.13,0.13,1.66,3.84,1.79,18.82,4.86,4,0.51,1.54,0.38,0.9,12,26.24,1.54,2.56,3.2,0.9,2.05,20.23,0,1.15,0,1.79,0.26,2.05,4.1,0.26,2.18,0.92,0.12,2.68,0.34
N. Vergos,27,Greece,CF,Greece 1,1200,0,4.95,0.98,0.15,0.3,0.83,1.65,3.68,26.33,4.28,4,0.3,1.2,0.45,1.2,16,18.6,2.03,1.8,2.25,1.35,1.65,10.58,0.08,0.68,0.08,2.1,0.23,3,2.33,0.75,3.15,1.61,0.12,4.39,0.33
T. Nakagawa,30,Japan,"RAMF, RWF, AMF",Japan 1,1000,0,6.3,1.17,0.09,0.36,1.17,4.5,2.34,17.82,5.94,4,0.36,2.88,0.36,1.08,14,24.48,1.62,1.89,3.87,0.99,0.99,17.82,0.09,0.63,0,1.26,0.18,2.25,5.4,0.09,1.98,0.59,0.05,2.75,0.25
A. Buzorgi,33,Israel,"CF, RWF",Liga Leumit,560,0,4.17,0,0,0,0.57,3.41,0.57,19.89,2.46,4,0.64,0.95,0.38,0,9,12.88,1.33,0.76,1.33,0.38,1.33,8.34,0.19,0.38,0,1.52,0.19,1.14,3.03,0,2.84,0.14,0.03,2.87,0.54
P. Erustes,29,Argentina,"CF, RW, AMF",Peru 1,459,0,3.73,1.57,0.2,0.59,0.2,5.49,2.35,21.96,7.25,4,0.78,2.75,0.2,1.18,11,17.84,3.33,1.57,4.12,0.59,2.35,9.8,0,0.59,0.2,2.55,0.39,2.94,6.47,0.39,5.88,0.19,0.04,2.43,0.48
Juninho,26,Brazil,"CF, LAMF",Portugal 1,1948,0,4.02,0.32,0,0.05,0.14,3.88,2.45,22.13,1.62,4,0.18,1.99,0.23,0.28,30,12.61,1.02,0.55,0.83,1.2,1.2,8.73,0,0.51,0.18,1.89,0.09,2.08,3.93,0.09,3.51,1.2,0.06,6.18,0.29
M. Depay,29,"Netherlands, Ghana","CF, LWF",Spain 1,408,0,9.93,1.32,0.66,0.22,1.54,1.76,6.4,26.91,7.5,4,0.88,0.66,0.44,0.88,9,31.32,2.21,2.43,1.99,2.21,1.54,26.25,0,1.1,0,3.31,0,4.41,1.1,0.66,5.74,0.27,0.06,2.86,0.63
Aitor García,29,Spain,"LW, LAMF, RW",Spain 2,1051,0,7.79,1.88,0.34,0.43,0.34,6.08,3.77,17.98,4.8,4,0.34,4.37,0.17,1.37,23,25.52,1.71,1.63,3.34,1.88,1.46,17.47,0,0.51,0.09,1.8,0,2.91,7.28,0.34,1.63,0.23,0.02,1.82,0.16
O. Faraj,20,"Sweden, Palestine",CF,Sweden1,1374,0,3.93,0.2,0,0.07,0.52,3.28,3.28,30.07,2.55,4,0.26,0.98,0.07,0.46,16,12.64,1.77,0.39,1.51,1.51,1.24,7.73,0.07,0.66,0.07,4.06,0.07,3.41,2.88,0.26,3.67,0.76,0.05,8.97,0.59
P. Keny,24,Senegal,CF,Turkey 1,1218,0,5.39,1.03,0.07,0.22,0.37,3.03,2.88,22.83,2.07,4,0.3,2.22,0.22,0.22,26,15.89,0.89,1.11,1.18,1.11,2.66,12.12,0,0.74,0.22,1.77,0.07,2.22,4.21,0.15,4.14,1.27,0.09,4.37,0.32
R. Debelko,29,Ukraine,CF,Ukraine 1,805,0,5.14,0.45,0,0,0.34,2.8,2.8,22.92,4.47,4,0.45,1.79,0,0.89,13,19.23,2.46,0.56,1.9,0.34,1.68,11.85,0,0.45,0.11,3.24,0,2.8,3.35,0.22,5.59,0.1,0.01,3.44,0.38
F. Bartels,36,Germany,"AMF, CF, LW",Germany 2,937,0,4.9,0.96,0.1,0.19,1.34,3.84,1.63,15.08,6.72,5,0.48,1.82,0.38,1.92,20,27.95,2.69,1.82,3.65,1.06,1.63,20.27,0.1,0.96,0.1,2.5,0.77,2.59,4.51,0.67,3.36,1.38,0.13,3.71,0.36
S. Steijn,21,Netherlands,"AMF, RCMF",Holland 1,999,0,4.86,0.81,0,0.09,1.44,5.32,0.45,15.5,7.57,5,0.45,2.07,0.63,1.71,20,25.68,3.06,1.62,3.06,0.81,0.63,19.37,0.27,1.17,0.45,2.34,0.54,1.35,5.59,0.18,3.69,1.88,0.17,4.68,0.42
R. Mühren,33,Netherlands,"CF, AMF",Holland 1,1663,0,3.9,0.49,0.05,0.05,0.81,2.71,0.65,14.77,4.71,5,0.27,2.87,0.27,0.87,22,15.8,2.06,1.3,1.84,0.6,1.89,10.93,0.05,0.49,0.16,2.16,0.16,1.3,4.44,0.27,4.11,1.42,0.08,6.13,0.33
E. Elimelech,28,Israel,"LCMF, LDMF",Liga Leumit,1598,0,5.43,0.48,0,0.06,0.3,7.28,1.79,19.52,5.97,5,0.28,3.1,0.06,0.9,33,23.45,2.75,0.66,2.45,1.01,0.24,16.77,0,0.24,0.24,1.19,0.54,1.49,8.89,0.06,1.79,0.28,0.02,4.99,0.3
C. Don,19,Côte d'Ivoire,"CF, RW, LW",Ligat Haal,1200,0,6.6,0.83,0.08,0.08,0.3,5.4,4.5,23.85,3.75,5,0.38,2.03,0.15,0.75,31,25.13,2.25,0.98,1.58,1.43,1.13,20.1,0.08,0.53,0,2.33,0.15,3.75,5.4,0.15,2.7,0.51,0.04,2.98,0.22
M. Succar,24,"Peru, Lebanon",CF,Peru 1,1266,0,4.98,0.92,0,0.28,0.36,3.91,2.27,27.58,2.91,5,0.36,1.35,0.28,0.85,15,15.36,1.78,0.78,1.21,0.85,1.85,7.89,0.07,0.64,0.21,2.7,0.14,2.35,3.48,0.07,2.77,0.74,0.05,4.35,0.31
B. Fink,19,"Switzerland, England",CF,Switzerland 1,1059,0,4.5,0.42,0.08,0.08,0.76,2.29,1.02,20.74,2.8,5,0.42,1.7,0.42,0.42,19,14.28,0.93,1.27,1.19,1.02,1.44,9.18,0,0.42,0.34,1.87,0.08,1.7,3.06,0.25,3.4,1.37,0.12,4.15,0.35
T. van Weert,32,Netherlands,CF,Greece 1,734,0,3.07,0.86,0.12,0.25,1.1,1.35,1.84,19.13,2.08,6,0.74,0.86,0.25,0.49,16,11.53,0.37,0.74,0.86,0.49,1.23,8.09,0,0.61,0.12,2.7,0.12,2.33,1.72,0.37,5.15,1,0.12,5.3,0.65
Gaspar Campos,22,Spain,"LW, AMF, LAMF",Spain 2,1481,0,6.68,0.91,0.12,0.24,0.55,4.92,3.59,19.39,7.66,6,0.36,2.13,0.24,2.19,25,28.87,3.04,1.52,3.46,1.34,1.28,20.18,0.12,0.55,0,1.52,0.36,3.22,5.35,0.55,1.7,1.08,0.07,1.66,0.1
Héctor Hernández,27,Spain,CF,Portugal 1,1616,0,3.84,0.06,0,0,0.11,2.73,0.84,15.59,3.17,7,0.39,1.67,0.06,0.22,22,13.64,1.78,0.28,1.17,0.5,0.89,9.69,0,0.22,0.28,2.17,0.06,1.62,3.23,0.11,3.01,0.1,0.01,6.23,0.35
Rafa Mújica,24,Spain,CF,Portugal 1,1755,0,3.64,0.21,0.1,0,0.31,4.51,1.95,23.08,1.44,8,0.41,2.62,0.15,0.1,27,11.79,0.62,0.31,0.72,1.23,2.05,8.51,0,0.36,0.05,2.97,0,2.36,4.82,0.1,3.9,0.39,0.02,10.25,0.53
M. Steinwender,22,Austria,"LCB, RCB",Austria 1,1106,0,3.25,0.16,0,0,0.16,7.89,0.24,17.09,17.17,0,0,8.54,0,4.31,15,36.86,2.6,0.41,7.57,0.08,0.33,20.75,0,0.08,0.98,0.16,0.24,0.24,13.18,0.24,0.49,0.48,0.04,0.22,0.02
J. Weberbauer,24,Austria,"RWB, RB, RW",Austria 1,520,0,7.79,2.94,0.69,1.21,0.17,6.75,2.77,14.88,11.08,0,0,3.81,0.69,3.46,10,35.31,5.19,3.29,7.1,1.38,1.9,24.75,0.17,1.56,0.17,1.21,0,3.81,8.13,1.73,1.04,0.75,0.13,0.63,0.11
M. Moreira,28,Uruguay,LB,Austria 1,1339,0,4.5,1.55,0.2,0.54,0.2,5.98,0.54,12.37,18.22,0,0,5.11,0,5.31,18,37.77,8.27,2.22,9.41,1.68,1.81,25.74,0.07,0.2,0.07,0.13,0.6,0.94,9.75,0.4,0.2,0.19,0.01,0.06,0
L. Gugganig,28,Austria,"RCB, LCB",Austria 1,587,0,3.37,0.15,0,0,0.15,4.75,0.15,11.96,20.39,0,0,7.82,0.15,7.51,11,47.07,5.52,0.31,8.74,0.31,0.46,28.06,0,0.31,0.46,0.31,0.46,0,12.11,0.15,0.31,0.16,0.03,0.02,0
V. Rzayev,20,Azerbaijan,"LCMF, RCMF",Azerbaijan 1,1245,0,2.89,0.14,0,0.07,0.14,12.14,1.59,22.48,10.41,0,0,4.55,0.07,2.1,25,24.65,4.34,0.29,4.7,1.01,0.36,10.84,0,0.22,0.29,0.43,0.22,1.3,11.28,0,0,0.1,0.01,0.16,0.01
