Player,Age,Passport country,Position,League,Minutes played,Assists per 90,Back passes per 90,Crosses per 90,Crosses to goalie box per 90,Deep completed crosses per 90,Deep completions per 90,Defensive duels per 90,Dribbles per 90,Duels per 90,Forward passes per 90,Goals,Goals per 90,Interceptions per 90,Key passes per 90,Long passes per 90,Matches played,Passes per 90,Passes to final third per 90,Passes to penalty area per 90,Progressive passes per 90,Progressive runs per 90,Received long passes per 90,Received passes per 90,Second assists per 90,Shot assists per 90,Shots blocked per 90,Shots per 90,Sliding tackles per 90,Successful attacking actions per 90,Successful defensive actions per 90,Through passes per 90,Touches in box per 90,xA,xA per 90,xG,xG per 90
Alberto Zapater,37,Spain,"RCMF, LCMF",Spain 2,1233,0.15,3.28,0.73,0.07,0.29,0.29,6.5,0.29,16.57,12.99,1,0.07,4.67,0.29,4.53,21,35.91,5.99,0.88,6.72,0.15,0.29,21.39,0,0.8,0.15,0.29,0.07,0.51,8.18,0.51,0.95,1.5,0.11,0.55,0.04
H. Mahou,23,"France, Morocco","LAMF, RAMF, RW",Switzerland 1,988,0.18,6.29,2.46,0,0.46,1.09,6.56,5.01,23.41,6.38,1,0.09,3.19,0.36,2.46,17,31.43,2,3.28,4.46,4.46,2.1,22.41,0.18,0.82,0.18,1.82,0.82,4.37,7.56,0.91,2.37,0.88,0.08,1.59,0.15
O. Mora,24,Peru,RB,Peru 1,939,0.21,6.78,3.39,0.21,1.38,1.06,5.51,3.92,17.49,11.45,2,0.19,2.01,1.17,3.07,15,36.89,4.45,2.97,7.31,2.33,2.01,25.65,0,1.91,0,1.38,0.21,3.71,5.83,0.74,3.18,3.52,0.37,1.16,0.12
E. Valentini,34,"Germany, Italy",RB,Germany 2,1166,0.15,5.87,3.47,0.54,1.39,0.54,6.64,2.24,17.06,18.83,2,0.15,5.17,0.62,7.56,20,39.67,7.95,3.94,12.2,2.24,1.78,29.87,0,0.93,0.31,1.31,1.08,2.7,10.11,0.93,0.62,1.63,0.13,0.88,0.07
Z. Machach,27,"France, Morocco","AMF, CF, LAMF",Greece 1,1114,0.16,6.3,1.94,0.16,0.57,0.89,6.71,5.09,22.86,10.34,2,0.16,2.18,0.4,1.54,23,31.02,4.04,2.02,4.52,2.1,1.78,20.44,0,0.73,0,1.37,0.4,3.88,6.87,0.16,2.18,1.02,0.08,1.95,0.16
M. Dauda,25,Ghana,"LW, RW",Spain 2,967,0.19,3.91,1.21,0.09,0.37,1.21,6.33,2.7,20.66,4.56,2,0.19,3.44,0.74,0.47,21,17.78,0.65,1.58,1.86,1.86,0.93,11.54,0,0.65,0,1.77,1.3,2.14,8.1,0.93,3.07,0.99,0.09,2.07,0.19
Pablo Martínez,25,Spain,"LDMF, RCMF, AMF",Spain 2,1626,0.11,6.59,1.83,0.17,0.55,0.89,6.25,2.49,16.88,11.29,2,0.11,4.1,0.44,3.32,27,40.9,6.75,2.49,6.31,2.66,0.89,28.67,0,1.44,0.22,1.77,0.11,2.82,7.58,0.77,1.11,2.16,0.12,1.78,0.1
A. da Cruz,26,"Netherlands, Cape Verde Islands","AMF, CF",Belgium 1,1766,0.1,8.2,0.82,0.15,0.2,0.92,4.69,3.06,23.39,5.76,3,0.15,1.53,0.41,0.41,25,27.27,2.24,1.38,2.8,1.27,1.12,17.68,0.05,0.76,0.1,0.87,0.51,2.85,4.84,0.25,2.4,1.33,0.07,3.03,0.15
S. Tsonkov,28,Bulgaria,LCB,Bulgaria 1,1270,0.14,2.27,0.07,0,0,0.21,6.52,0.21,18.35,16.16,3,0.21,8.08,0.07,5.17,16,40.39,4.32,0.43,6.94,0.5,0.71,26.22,0,0.07,0.78,0.64,0.21,0.5,12.33,0.35,1.06,0.27,0.02,1.73,0.12
M. García,26,"Argentina, Italy","AMF, RW, RAMF",Greece 1,2482,0.07,9.36,0.58,0.04,0.33,1.27,7.61,2.57,19.51,10.73,3,0.11,3.92,0.44,1.34,33,44.17,4.61,1.7,5.08,2.36,1.05,32.24,0.07,0.94,0.11,0.98,0.07,2.18,8.74,0.44,1.96,2.12,0.08,3.81,0.14
