Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,Duel%D3,DuelsD3,SeqShotStart,SeqGoalStart,RcvryA3,RcvryM3,Clrnce,Tckl,Shoot%,CrsPs%,CrossOpen,TchsA3,ThrghBalls,Ps%Att3rd,Pass%OpHf,LongBall%,LgBallCp,ShirtNumber,PrefFoot,xG,Offsides,ErrShot,FoulCom,Position,BgChncGoal,Cleared,RedsResc,Red,Yellow,Int,PsCmpInBox,GoalOBx,ShtOBox,OFF,FoulSuf,PsLostD3,PsLostA3,PsLostM3,PossLost,KeyPass,TouchOpBox,PsCmpSoP,PsSoP,PsOpHfScs,DuelLs,AerialLoss,AerialWon,SucflDuels,DuelsOff,Aerials,Duels,DuelsDef,ChancesCreatedPer90,CrossCmp,Crosses,ShtAf1v1,xAAf1v1,Sc1v1InBox,1v1InBox,Success1v1,1v1%,1v1,PsDist,PsCmpA3,PsRecA3,PsOppHalf,PsInA3rd,PsIntoOpHf,ProgPass,FwdPass,PsCmp,PsRec,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
204,x4dz7l0v35x77mn294q2cv3e,,O. Osher,Ofek Osher,Centre Forward,2792,Hapoel Petah Tikva,H Petah Tikva,HPT,1f4f869ya31jh0biwiipqxpj2,Hapoel Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,607136,Ofek,Osher,Centre Forward,20,821,23,40.00%,3.29,1.43,0.11,0.33,1.32,0.99,1.64,0.00%,21.60%,4.49,21.05,0,57.50%,68.30%,16.30%,1.1,11,,0.06,0.44,0,0.33,Centre Forward,0,0,0,0,0.22,0.77,1.97,0,0.22,0.55,0.22,2.3,10.74,7.02,20.06,1.21,1.64,0.22,0.22,8.77,7.78,2.08,0.88,3.62,5.59,2.96,11.4,5.81,1.32,1.21,5.59,0,0,0.11,0.22,0.88,38.10%,2.3,19.1,4.6,9.43,14.36,6.36,3.29,2.3,7.89,13.81,20.72,45.05,20.17,68.50%,72.40%,1.32,0.11,0.13,0,0.06,0.55,1.1,0,0.00%,16.70%,31.70%,29.60%,3.73
206,9pfybt7t7pixvkysqae8truy2,,S. Harush,Shalev Harush,Central Midfielder,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,512417,Shalev,Harush,Central Midfielder,19,818,21,57.70%,2.86,0.55,0.11,0,2.97,1.76,1.98,0.00%,66.70%,0.22,6.16,0.11,61.40%,78.70%,10.90%,1.98,9,,0.11,0,0,0.99,Central Midfielder,0,0,0,0,0.11,1.32,0.66,0,0.33,0.44,1.1,2.2,1.65,6.38,10.23,1.1,0.88,0.11,0.11,13.64,4.84,0.77,0.55,5.28,5.28,1.32,10.12,4.84,1.21,0.22,0.33,0,0.01,0,0,1.65,53.60%,3.08,17.3,2.42,2.97,17.6,3.52,4.18,3.19,9.02,28.83,27.29,51.82,34.22,84.20%,71.00%,1.21,0.11,0.03,0,0.11,0.88,0.99,0.44,44.40%,38.50%,52.20%,41.70%,4.29
207,uxb0rai8lghcq59m2r6bkzpx,165143,K. Saief,Kenny Saief,Left Wing Back,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,94255,Kenny,Saief,Left Wing Back,14,817,30,64.70%,3.75,1.65,0,0.66,1.54,1.54,2.97,0.00%,36.00%,2.09,26.88,0,83.80%,88.30%,6.50%,1.54,15,both,0.12,0.11,0.11,1.43,Left Wing Back,0,0,0,0,0.33,1.1,2.09,0,0.33,0.55,0.66,2.86,6.28,6.72,15.86,0.88,2.31,0.33,0.33,24.68,5.84,1.1,1.54,6.61,5.51,2.64,12.45,6.94,0.88,0.99,2.75,0.11,0,0.22,0.22,1.43,50.00%,2.86,15.9,14.54,16.52,29.96,16.52,3.64,4.52,10.91,38.12,40.43,70.83,45.72,83.40%,89.20%,0.88,0,0.17,0,0.12,0.88,1.32,0.33,25.00%,51.40%,53.10%,58.30%,5.18
208,frqgze81sxy6oclj3ry7uu0a,,M. Tadisa,Matanel Tadisa,Central Midfielder,2789,Bnei Sakhnin,Sakhnin,BNS,54hbubv11m3ygghs51uperow9,Bnei Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,607055,Matanel,Tadisa,Central Midfielder,22,811,27,46.70%,1.66,1.44,0.22,1,3.22,0.33,1.55,7.70%,20.80%,5.44,26.19,0.33,70.00%,74.40%,11.20%,2.44,8,,0.1,0.33,0,1,Central Midfielder,0,0,0,0,0.11,1,3,0.11,1.22,1,1.44,1.22,11.65,11.1,23.97,1.33,1.44,0.33,0.44,20.09,6.55,2,1,4.99,6.99,3,11.54,4.55,1.66,1.66,7.99,0.22,0,0.11,0.11,1,34.60%,2.89,18.7,8.32,13.54,28.41,10.21,5.44,8.66,14.98,32.07,38.95,69.58,42.73,75.10%,83.30%,1.66,0.33,0.23,0.11,0.1,1.44,2,0.44,22.20%,25.00%,43.30%,33.30%,5.77
209,38wxu35uukjei8bvlsa29r5cl,251278,O. Mosquera,Orlando Mosquera,Goalkeeper,1007,Maccabi Tel Aviv,Maccabi TA,MTA,ealjallt13942jb2q2hk4buxa,Maccabi Tel Aviv,#FFFF00,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,428758,Orlando,Mosquera,Goalkeeper,9,810,29,100.00%,0.33,0.67,0.11,0,0,0.44,0.11,-,-,0,0,0,18.50%,-,45.60%,4.78,22,right,0,0,0,0.11,Goalkeeper,0,0.22,0,0,0,0,0,0,0,0,0.11,8,0,0.11,8.11,0,0,0,0,1.78,0,0,0.11,0.33,0,0.11,0.33,0.33,0,0,0,0,0,0,0,0,-,0,32,0,0,7.56,0,7.56,0.11,17.22,19.67,18.44,36.44,27.78,70.80%,-,0,0,0,0,0,0,0,0,-,100.00%,100.00%,100.00%,1.78
210,5mx47tgy848kn9rhelvdjqad,140439,H. Elhamed,Hatem Elhamed,Left Centre Back,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,95478,Hatem,Elhamed,Left Centre Back,14,806,33,79.30%,3.24,0.67,0.11,0,3.24,3.13,1.67,40.00%,40.00%,0.56,6.92,0,70.10%,83.10%,11.40%,2.9,44,right,0.05,0.11,0,0.78,Left Centre Back,0.11,0,0,0,0.11,2.34,0.67,0,0,0.22,1.12,3.01,2.57,3.35,8.93,0.33,0.78,0,0,13.51,2.23,0.45,1.67,5.36,2.9,2.12,7.59,4.69,0.45,0.22,0.56,0,0,0,0,0.89,66.70%,1.34,18.5,2.57,2.68,17.31,3.35,7.37,4.47,15.97,40.65,34.06,64.54,46,88.30%,76.70%,0.45,0.11,0.03,0.22,0.05,0.56,0.67,0.33,50.00%,62.50%,70.60%,78.90%,6.59
211,3m65pb71varah0jd4mahgf0us,,N. Gutlib,Niv Gutlib,Centre Forward,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,590905,Niv,Gutlib,Centre Forward,19,793,21,66.70%,2.04,0.91,0,0.79,1.48,0.79,1.36,0.00%,16.70%,1.13,13.96,0.11,69.00%,75.20%,6.40%,1.02,99,,0.1,0.34,0,1.82,Centre Forward,0,0,0,0.11,0.11,0.79,0.68,0,0.23,0.68,1.59,0.79,4.2,7.04,12.03,0.91,2.16,0.11,0.11,11.35,6.81,2.04,1.36,5.45,7.6,3.4,12.26,4.65,0.91,0.23,1.36,0,0,0,0.11,1.13,40.00%,2.84,15.5,6.36,8.28,15.32,7.72,1.59,2.5,5.56,18.16,22.7,41.31,23.04,78.80%,82.40%,0.91,0,0.08,0,0.1,0.79,1.13,0.11,10.00%,50.00%,44.40%,40.00%,3.97
212,dczm9cqm0or4f1dx5ef8bso9h,73054,B. Sahar,Ben Sahar,Centre Forward,2357,Maccabi Petah Tikva,M Petah Tikva,MPT,salasr5qer65t60k1e4c0vxf,Maccabi Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,40552,Ben,Sahar,Centre Forward,19,786,34,83.30%,0.69,0.11,0,0.57,1.15,0.57,1.03,19.00%,66.70%,0.34,15.69,0,63.40%,61.80%,3.30%,0.57,14,right,0.47,1.49,0,1.26,Centre Forward,0.46,0,0,0,0.23,0.11,0.69,0,0.46,1.03,1.26,0.34,5.95,5.27,11.56,0.46,3.66,0.23,0.34,8.02,6.3,3.78,1.95,4.69,7.9,5.73,10.99,3.09,0.46,0.23,0.34,0.23,0,0,0.11,0.46,44.40%,1.03,13.1,5.27,8.24,12.94,7.79,1.26,1.49,5.15,14.31,17.4,33.44,20.84,68.70%,67.60%,0.46,0,0.03,0.46,0.47,2.4,2.4,1.37,57.10%,36.40%,42.70%,34.00%,2.18
213,224a72g0ssa77eo0hb3ruvuhg,,L. Kasa,Lior Kasa,Central Midfielder,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,590892,Lior,Kasa,Central Midfielder,18,781,18,64.50%,3.57,0.69,0,0.81,2.77,0.58,2.42,0.00%,21.70%,2.07,18.44,0.12,55.80%,64.30%,9.70%,1.73,14,right,0.07,0,0,1.73,Central Midfielder,0,0,0,0,0.23,0.69,0.92,0,0.46,0.69,2.19,2.19,8.64,7.72,18.55,0.81,1.38,0.12,0.12,11.41,7.38,1.15,1.38,7.72,8.64,2.54,15.1,6.45,0.92,0.58,2.65,0.12,0.03,0,0.12,1.73,37.50%,4.61,17.8,5.65,9.56,18.21,8.41,3.34,2.77,8.3,22.01,25.93,54.05,29.85,73.70%,67.10%,0.92,0.12,0.05,0,0.07,0.92,1.5,0.23,15.40%,44.80%,51.10%,54.50%,6.11
214,8o496eozv1lxsfbkj5okgonp,128210,Y. Azulay,Yosef Shlomy Azulay,Central Midfielder,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,149909,Yosef Shlomy,Azulay,Central Midfielder,18,780,34,42.90%,2.42,1.5,0.12,0.35,4.04,0.58,1.04,15.40%,29.20%,0.92,15.81,0.35,71.40%,80.50%,20.40%,6.69,8,right,0.26,0,0,1.15,Central Midfielder,0.23,0,0,0,0.35,1.73,2.65,0,1.15,0.46,1.85,2.31,5.65,9.35,17.31,1.73,0.81,1.38,1.62,25.96,4.5,0.81,0.35,3.58,3.35,1.15,8.08,4.73,1.96,1.62,5.54,0,0,0,0.12,0.35,23.10%,1.5,22.7,6.12,8.42,33.12,7.62,7.62,10.73,17.65,41.54,40.5,70.96,50.88,81.60%,80.30%,1.96,0.23,0.18,0.23,0.26,1.5,2.19,1.04,47.40%,25.00%,44.30%,30.00%,5.77
215,82n7a1g9p0clcllaeb8369h49,517934,M. Kna'an,Mohammad Kna'an,Centre Forward,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,475519,Mohammad,Kna'an,Centre Forward,15,778,24,42.90%,2.43,0.81,0,0.69,1.97,0,1.39,6.30%,28.60%,0.46,17.93,0.35,63.60%,68.80%,6.80%,0.81,10,,0.12,0.46,0,1.62,Centre Forward,0,0,0,0,0.12,0.46,1.27,0.12,1.39,0.81,2.2,1.62,6.83,9.25,17.7,1.04,1.74,0.35,0.58,10.64,9.02,1.39,0.81,5.9,10.06,2.2,14.92,4.86,1.27,0.46,1.62,0.12,0,0,0.35,1.5,30.20%,4.97,16.7,5.44,8.44,15.5,7.98,1.04,2.31,4.74,15.96,25.57,45.69,21.98,72.60%,68.10%,1.27,0.23,0.12,0.12,0.12,1.85,2.54,1.04,40.90%,38.10%,39.50%,36.80%,3.82
216,a5yl0md0zxxjcxi930xsglsa2,693364,I. Noy,Itamar Noy,Central Midfielder,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,584665,Itamar,Noy,Central Midfielder,26,777,22,51.90%,3.13,1.16,0.12,0.35,3.59,0.23,1.51,0.00%,22.20%,0.69,15.17,0.58,75.40%,82.20%,7.10%,2.55,20,left,0.06,0.12,0.12,2.43,Central Midfielder,0,0,0,0,0.12,0.81,1.62,0,0.58,0.58,1.04,2.08,5.79,6.25,14.13,1.51,1.16,0.12,0.12,19.92,7.88,1.39,0.81,4.63,4.98,2.2,12.51,7.53,1.62,0.69,3.13,0,0,0.12,0.12,1.27,61.10%,2.08,17.8,6.83,6.14,25.02,8.46,4.86,6.02,15.64,47.26,43.09,72.16,54.09,87.40%,81.90%,1.62,0.12,0.15,0,0.06,0.58,0.93,0,0.00%,23.30%,37.00%,36.80%,7.3
217,onvaxwitgvkut41hgl5anjvu,,O. Roizman,Or Roizman,Left Attacking Midfielder,15112,Hapoel Jerusalem,H Jerusalem,HJM,ehmuu62daxvzhvn2wfoe9t86y,Hapoel Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,591227,Or,Roizman,Left Attacking Midfielder,21,773,22,50.00%,1.16,0.7,0,0.7,1.63,0.47,1.4,15.40%,18.00%,4.08,25.61,0,59.20%,61.50%,13.50%,0.82,8,,0.19,0.23,0,0.7,Left Attacking Midfielder,0.12,0,0,0,0.23,0.58,1.63,0,0.23,0.47,0.7,1.16,12.69,5.24,19.09,1.05,3.84,0.7,0.93,8.73,4.08,0.35,0,3.84,5.01,0.35,7.92,2.91,1.16,1.05,5.82,0.35,0,0.35,0.58,1.75,45.50%,3.84,18.8,6.99,15.95,14.44,10.36,0.82,2.45,5.82,10.83,20.96,40.17,18.16,59.60%,67.40%,1.16,0.12,0.13,0.23,0.19,1.51,2.21,1.05,47.40%,45.00%,48.50%,0.00%,3.84
218,3smmetumwei5dkt296qnz1ex,,A. Ashta,Awka Ashta,Centre Forward,15112,Hapoel Jerusalem,H Jerusalem,HJM,ehmuu62daxvzhvn2wfoe9t86y,Hapoel Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,549484,Awka,Ashta,Centre Forward,17,770,24,54.50%,1.29,0.35,0,0.47,2.22,1.4,1.29,0.00%,0.00%,0.7,16.01,0,77.90%,81.20%,4.30%,0.58,6,,0.13,0,0.12,1.17,Centre Forward,0,0,0,0,0.35,1.17,0.35,0,0.12,0.12,1.29,1.64,4.91,5.61,12.16,0.35,1.87,0.23,0.23,16.13,7.25,3.51,1.64,4.44,7.36,5.14,11.69,4.32,0.35,0,0.82,0,0,0,0.12,0.23,11.80%,1.99,14.5,7.6,8.65,20.45,8.88,2.45,3.86,8.88,23.49,24.66,46.05,29.57,79.40%,85.50%,0.35,0,0.03,0,0.13,0.58,1.17,0.47,40.00%,41.20%,38.00%,31.80%,3.16
219,cw9vov45d6ynqn096r41kd4yy,768617,O. Senior,Omer Senior,Right Wing Back,245,Hapoel Tel Aviv,Hapoel TA,HTA,dv6fn97f0kx4x988y86gkmwb8,Hapoel Tel Aviv,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,534280,Omer,Senior,Right Wing Back,18,768,21,61.50%,3.05,0.7,0.12,0.35,1.52,0.94,2.93,33.30%,33.30%,2.11,14.41,0.12,64.40%,68.50%,8.70%,1.05,21,,0.23,0.12,0,0.47,Right Wing Back,0.23,0,0,0.12,0.12,0.94,1.88,0,0.35,0.7,0.59,3.28,5.04,5.39,13.71,1.52,2.7,0.12,0.12,8.09,4.69,0.47,0.47,4.22,3.63,0.94,8.91,5.27,1.64,0.7,2.11,0.12,0,0,0.12,0.23,20.00%,1.17,15.8,4.22,8.32,12.89,5.86,2.11,2.11,7.03,15.23,18.87,42.19,22.85,66.70%,72.00%,1.64,0.12,0.11,0.35,0.23,1.05,1.64,0.35,21.40%,37.80%,47.40%,50.00%,3.87
220,f48qh7o615ycoub202i9mklp1,295495,I. Abu Abaid,Iyad Abu Abaid,Right Centre Back,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,202581,Iyad,Abu Abaid,Right Centre Back,10,727,29,41.70%,2.97,0.62,0,0,3.09,2.23,1.24,-,0.00%,0.12,1.86,0,55.80%,71.20%,16.00%,2.48,5,,0,0.12,0.12,0.74,Right Centre Back,0,0,0,0,0.12,0.25,0.12,0,0,0,0.5,5.2,0.87,6.19,12.26,0.25,0.12,0.74,0.99,9.41,3.34,0.62,1.24,3.09,1.49,1.86,6.44,4.95,0.25,0,0.12,0,0,0,0,0.12,33.30%,0.37,20.2,0.37,0.5,14.36,0.87,7.06,4.58,16.46,34.17,31.32,54.72,43.33,78.90%,50.00%,0.25,0,0.01,0,0,0,0,0,-,47.10%,48.10%,66.70%,5.57
221,12ch8woxddzamvj8vzwfdfi3u,,D. Azaria,Dan Azaria,Central Midfielder,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,491367,Dan,Azaria,Central Midfielder,17,723,28,75.00%,1.49,0.37,0,0.37,1.37,1.87,1.49,0.00%,0.00%,0.25,10.95,0.12,73.60%,81.50%,8.90%,2.74,8,,0.09,0,0,0.25,Central Midfielder,0,0,0,0.12,0.12,1.87,0.5,0,0.37,1.12,0.87,1.37,2.74,5.6,9.71,0.5,2.49,0.75,0.75,19.17,4.48,2.24,0.75,3.61,4.73,2.99,8.09,3.36,0.5,0,0.25,0,0,0,0.25,0.5,26.70%,1.87,17,5.1,5.85,23.53,6.6,3.98,5.23,9.59,33.36,32.99,55.64,39.34,84.80%,78.80%,0.5,0,0.03,0,0.09,1.24,1.49,0.12,8.30%,50.00%,44.60%,25.00%,3.49
222,agxrg8ytux9fv5ypxte369xp1,215271,M. Mbodj,Mamadou Mbodj,Right Centre Back,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,210961,Mamadou,Mbodj,Right Centre Back,8,720,31,72.10%,5.38,0.38,0,0,2,4.63,1.63,0.00%,0.00%,0.13,1.5,0,45.90%,76.90%,21.60%,3.88,24,right,0.02,0,0,0.25,Right Centre Back,0,0,0,0,0.25,1.13,0.13,0,0.13,0.25,0.88,4.13,0.25,3.63,8,0.13,0.63,0.25,0.25,8.75,3.13,2.13,2.63,5.38,1.38,4.75,8.5,7.13,0.13,0,0.13,0,0,0,0,0.38,60.00%,0.63,22.3,0.38,0.38,13,0.5,8.13,3.5,15.25,28.38,19.63,48.75,35.38,80.20%,75.00%,0.13,0,0.01,0,0.02,0.38,0.5,0.13,25.00%,66.70%,63.20%,55.30%,4.25
223,5st753i9xx8uonrygce7mad0q,678154,Capita,Capita,Centre Forward,15112,Hapoel Jerusalem,H Jerusalem,HJM,ehmuu62daxvzhvn2wfoe9t86y,Hapoel Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,482298,Osvaldo Pedro,Capemba,Centre Forward,19,718,22,83.30%,0.75,0.25,0.13,0.5,2.88,0.38,0.75,7.10%,6.70%,1.88,21.69,0.13,62.00%,66.70%,11.00%,1,29,left,0.21,1.13,0,1.38,Centre Forward,0.13,0,0,0,0.25,0.38,1.13,0,0.63,0.63,1.38,1.5,10.4,5.39,17.3,0.88,4.39,0.25,0.38,7.65,6.39,1.5,0.38,4.14,9.28,1.88,10.53,1.25,0.88,0.13,1.88,0.25,0.02,0.25,0.5,1.63,33.30%,4.89,16.4,6.27,12.41,11.66,9.28,0.75,1.63,3.13,11.41,20.43,38.36,17.05,66.90%,68.50%,0.88,0,0.1,0.13,0.21,1.75,2.13,1.13,52.90%,50.00%,39.30%,20.00%,5.01
224,eeldwamuq7nkooifhrxx9ihhw,,R. Abrgil,Ravid Abrgil,Centre Forward,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,631379,Ravid,Abrgil,Centre Forward,15,712,20,50.00%,1.26,0,0,0.51,1.26,0.13,0.88,26.70%,0.00%,0.38,13.02,0,61.40%,70.50%,7.50%,0.63,30,,0.5,0.13,0,2.02,Centre Forward,0.38,0,0,0,0.25,0.13,0.25,0.13,0.63,1.14,1.39,1.01,5.31,5.06,11.38,0.25,2.65,0.25,0.25,5.56,8.09,2.53,0.88,4.42,8.97,3.41,12.51,3.54,0.25,0,0.38,0,0,0,0.25,1.26,30.30%,4.17,14.9,3.16,6.07,8.85,4.3,1.14,1.26,3.79,11.12,14.79,31.22,15.17,73.30%,73.50%,0.25,0,0.01,0.51,0.5,1.9,2.28,0.76,33.30%,27.30%,35.40%,25.90%,2.4
225,2kcvwgrqcwgsisxo2lulusq1h,178823,G. Kinda,Gadi Kinda,Right Midfielder,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,104964,Gadi,Kinda,Right Midfielder,14,708,30,87.50%,1.02,1.14,0.13,0.25,2.29,0.51,1.65,22.20%,25.00%,2.03,30.64,0.38,74.60%,79.20%,7.10%,1.14,6,right,0.28,0.25,0,1.65,Right Midfielder,0.13,0,0,0,0.25,0.38,3.05,0,0.38,0.64,2.16,1.02,11.31,7.37,19.7,1.78,4.7,0.25,0.25,25.04,6.36,0.76,0.51,5.97,8.64,1.27,12.33,3.69,2.16,0.76,3.05,0,0.02,0,0.25,1.65,39.40%,4.19,15.5,14.11,18.31,32.42,18.43,2.42,6.74,11.69,30.76,40.55,62.29,39.28,78.30%,77.60%,2.16,0.38,0.32,0.25,0.28,1.14,1.78,0.51,28.60%,44.40%,48.50%,40.00%,3.81
226,dudttzqf0mfehgvnqerqgytbd,656612,Show,Show,Defensive Midfielder,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,447431,Manuel Luís,da Silva Cafumana,Defensive Midfielder,16,695,25,62.50%,2.07,1.04,0,1.17,4.79,0.65,2.98,0.00%,0.00%,0.13,13.21,0,75.90%,85.20%,9.80%,3.88,5,right,0.04,0,0,2.33,Defensive Midfielder,0,0,0,0,0.26,1.17,0.52,0,0.65,0.65,1.68,1.29,2.2,5.83,9.32,0.39,0.91,0.52,0.78,30.69,5.57,1.42,1.42,6.73,5.05,2.85,12.3,7.25,0.39,0,0.13,0,0,0.13,0.13,0.65,83.30%,0.78,17.6,8.03,6.6,36.78,9.97,6.09,8.42,13.86,51.8,44.16,73.68,59.18,87.50%,83.80%,0.39,0,0.04,0,0.04,0.78,0.91,0.13,14.30%,50.00%,54.70%,50.00%,8.16
227,amn3udbfnzvypqrtpn5zis7v9,211046,A. James,Adeniyi James,Left Attacking Midfielder,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,134835,Adeniyi,James,Left Attacking Midfielder,10,691,31,60.00%,1.95,1.17,0.26,0.26,4.43,0.26,1.69,33.30%,0.00%,0.39,14.85,0,71.80%,81.40%,7.70%,1.3,29,right,0.36,0.52,0,0.65,Left Attacking Midfielder,0.39,0,0,0,0,0.78,0.52,0,0.39,0.78,1.56,1.43,4.82,5.47,11.72,0.65,2.34,0.39,0.39,12.76,4.43,1.56,0.91,4.95,5.86,2.47,9.38,3.52,0.78,0,0.39,0.13,0,0,0.13,0.91,38.90%,2.34,14.8,6.38,8.08,16.67,8.47,1.95,3.13,6.51,21.49,23.18,43.63,27.22,78.90%,75.40%,0.78,0.13,0.03,0.52,0.36,1.56,1.56,0.78,50.00%,66.70%,52.80%,36.80%,6.64
228,856if2z4ngrdprmb771z970t1,204512,J. Tomasevic,Josip Tomasevic,Left Back,14142,Hapoel Hadera,Hapoel Hadera,HAD,c99ke5wvxc8gjsn1mt4n6y38v,Hapoel Hadera,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,118949,Josip,Tomasevic,Left Back,8,689,30,68.60%,4.57,0.78,0.13,0.13,0.91,1.96,2.48,0.00%,18.80%,1.96,8.36,0,61.20%,80.00%,12.80%,1.04,19,left,0,0,0,1.04,Left Back,0,0,0,0,0.13,2.22,0.52,0,0.13,0.13,0.39,4.83,3.13,6.4,14.37,0.26,0.65,0.13,0.13,9.93,3.66,0.65,1.04,4.57,1.83,1.7,8.23,6.4,0.39,0.39,2.09,0,0,0,0,0.65,62.50%,1.04,15.9,2.87,4.7,13.85,3.66,4.05,3.66,15.28,22.73,23.9,56.04,30.7,74.00%,81.50%,0.39,0.13,0.07,0,0,0.13,0.13,0,0.00%,37.90%,55.60%,61.50%,2.61
229,bot09jkz6gjnacyuaugpgcmsq,,G. Akawa,Gideon Akawa,Central Midfielder,2357,Maccabi Petah Tikva,M Petah Tikva,MPT,salasr5qer65t60k1e4c0vxf,Maccabi Petah Tikva,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,607104,Gideon,Akawa,Central Midfielder,14,664,23,42.90%,2.85,0.54,0,0.41,2.71,3.12,1.76,-,-,0,3.66,0,51.70%,71.00%,14.30%,2.58,24,,0,0,0,2.71,Central Midfielder,0,0,0,0,0.41,2.17,0,0,0,0,0.68,2.44,1.22,6.91,10.57,0.41,0,0.27,0.27,13.01,6.23,0.68,1.08,3.93,2.85,1.76,10.17,7.32,0.41,0,0,0,0,0,0,0.41,42.90%,0.95,19,1.36,1.36,18.98,2.03,5.42,3.8,11.25,28.06,24.8,50.56,36.05,77.80%,66.70%,0.41,0,0.01,0,0,0,0,0,-,24.00%,38.70%,61.50%,5.56
230,4wblc9u4thd41qnt3papkatx,140442,B. Bitton,Ben Bitton,Right Back,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,104621,Ben,Bitton,Right Back,10,656,33,55.60%,4.94,0.55,0,0.55,1.23,2.74,3.16,-,27.30%,1.51,20.58,0.14,72.10%,79.60%,11.20%,2.33,26,right,0,0,0,1.51,Right Back,0,0,0,0,0.27,1.37,2.33,0,0,0,0.82,6.17,5.49,5.49,17.15,1.1,1.1,0.14,0.14,18.8,4.25,0.55,0.27,5.63,2.2,0.82,9.88,7.68,1.23,0.41,1.51,0,0.01,0,0.14,1.37,52.60%,2.61,16.6,10.43,12.62,25.93,12.62,5.08,4.94,14.13,38.14,42.94,76.14,48.98,77.90%,82.60%,1.23,0.14,0.16,0,0,0,0,0,-,51.50%,56.90%,33.30%,5.21
