Player,League,Minutes played,Goals per 90,xG per 90,Shots per 90,Touches in box per 90,xA per 90,Key passes per 90,Second assists per 90,Shot assists per 90,Passes to penalty area per 90,Crosses per 90,Deep completions per 90,Dribbles per 90,Progressive passes per 90
M. Simon,France 1,2478,0.18,0.17,1.16,3.12,0.18,0.87,0.07,1.49,3.78,4.69,0.69,7.26,3.6
Galeno,Portugal 1,2197,0.33,0.38,2.83,5.33,0.19,0.82,0,1.43,2.99,2.74,1.88,7.09,3.15
O. Vilhelmsson,Sweden1,716,0.25,0.11,0.63,2.01,0,0,0,0.13,0.38,0.25,0.38,1.63,0.5
J. Le Douaron,France 1,2195,0.41,0.39,1.97,3.24,0.07,0.16,0,0.53,1.35,1.68,0.37,3.94,1.23
S. Diop,France 1,1360,0.13,0.22,1.99,2.45,0.15,0.53,0.13,1.32,3.04,1.39,1.59,3.84,5.43
Kayky,Portugal 1,311,0,0.17,1.45,2.6,0.07,0,0,0.87,0.58,1.16,0.29,5.21,1.45
A. Kabashi,Sweden1,758,0.12,0.17,1.54,3.09,0.07,0.12,0,0.83,3.32,2.61,0.71,2.73,1.9
Tiago Gouveia,Portugal 1,2533,0.18,0.2,1.53,2.56,0.17,0.92,0.07,0.96,2.1,1.67,1.07,5.58,3.94
P. Frick,Sweden1,1462,0.12,0.28,1.6,3.57,0.07,0.43,0,0.92,1.97,0.18,1.72,0.8,2.15
H. Aiesh,Sweden1,1783,0.1,0.05,0.86,1.72,0.22,1.11,0.1,1.51,6.11,5.6,1.67,8.98,6.26
L. Mothiba,France 1,524,0.52,0.22,1.55,2.06,0,0,0,0,1.03,0.69,0,1.55,1.55
P. Engblom,Sweden1,2290,0.43,0.4,1.85,3.14,0.05,0.31,0.04,0.71,0.94,0.59,0.71,0.83,1.26
Vitinho,Portugal 1,291,0,0.16,1.86,2.16,0.29,1.55,0,2.47,3.09,3.09,0.93,2.47,7.11
M. Cham,France 1,2110,0.3,0.26,2.18,2.39,0.11,0.51,0.04,0.9,3.54,1.71,1.71,3.5,4.99
S. Mounié,France 1,1767,0.31,0.39,2.5,3.31,0.06,0.1,0.05,0.46,0.51,0.51,0.46,1.32,1.27
A. Golovin,France 1,2587,0.28,0.2,1.67,2.71,0.23,0.7,0.17,1.7,3.76,2.02,1.6,3.17,5.11
Jonny Arriba,Portugal 1,744,0.12,0.16,1.57,2.06,0.05,0.48,0,0.36,1.81,1.94,0.73,1.69,2.18
Rui Fonte,Portugal 1,562,0.16,0.27,1.12,1.92,0.01,0,0,0.32,0.8,0.16,0.48,0.64,0.64
Heriberto Tavares,Portugal 1,249,0,0.08,1.45,2.17,0.29,0.72,0,1.81,6.14,6.51,0,5.06,9.04
Ukra,Portugal 1,454,0,0.01,0.4,0.4,0.1,0.59,0,1.39,2.78,4.36,0.4,4.16,4.16
B. Touré,France 1,218,0,0,0.83,0.83,0,0,0,0,0.41,0,0,2.89,0
N. Gaitán,Portugal 1,1917,0.14,0.16,1.6,2.02,0.2,0.66,0,1.69,3.62,1.69,1.27,2.49,5.45
B. Brahimi,France 1,890,0.3,0.12,1.92,2.22,0.16,0.81,0,1.62,4.96,6.98,0.71,4.85,3.74
Matheus Babi,Portugal 1,1492,0.3,0.35,1.63,2.84,0.04,0.18,0,0.36,0.24,0.18,0.3,1.87,1.39
K. Spadanuda,France 1,1150,0,0.06,0.39,1.57,0.02,0.23,0,0.47,0.63,0.47,0.7,3.76,2.03
B. Róchez,Portugal 1,1006,0.09,0.43,2.24,3.67,0.03,0.18,0,0.54,0.45,0.54,0.63,1.52,1.61
K. Tagawa,Portugal 1,1325,0.14,0.07,0.75,1.83,0.07,0.27,0,0.41,0.34,0.27,0.41,0.95,0.88
Iuri Medeiros,Portugal 1,2176,0.41,0.35,3.56,3.47,0.29,0.95,0.12,1.9,3.6,2.07,1.74,3.93,5
Klismahn,Portugal 1,766,0,0.07,0.59,0.7,0.03,0.12,0,0.35,1.64,1.41,0.35,1.64,4.7
Kiko Bondoso,Portugal 1,3080,0.06,0.11,0.96,2.48,0.12,0.7,0.06,1.11,2.25,1.49,1.26,3.51,3.94
Luís Santos,Portugal 1,339,0,0.23,1.86,1.86,0.04,0.27,0,0.53,2.65,2.65,0,2.92,2.65
J. Okkels,Sweden1,1448,0.12,0.29,2.42,4.72,0.31,0.93,0.06,1.49,2.92,3.92,0.87,5.9,3.79
I. Cardona,France 1,271,0,0.12,1.33,3.99,0.05,0.33,0,0.66,1,1,0.33,1.33,0.33
Y. Soma,Portugal 1,1312,0.14,0.22,2.13,1.99,0.21,0.41,0,1.3,2.68,2.95,0.62,3.29,2.61
V. Birmančević,Sweden1,1244,0.36,0.41,3.55,7.16,0.37,1.37,0.14,2.68,4.41,3.98,2.68,7.45,4.34
V. Birmančević,France 1,536,0,0.34,2.18,3.19,0.11,0.5,0.17,0.67,1.51,2.01,0.84,5.21,4.03
T. Sana,Sweden1,1039,0.09,0.15,1.91,4.42,0.12,0.61,0.09,0.78,4.24,3.55,2.34,5.02,6.5
Rui Gomes,Portugal 1,1252,0.07,0.12,1.73,2.37,0.28,1.01,0.07,1.37,3.02,3.45,0.93,6.04,3.88
Léo Pereira,Portugal 1,590,0,0.04,0.76,2.29,0.05,0.15,0,0.76,2.9,3.36,0.46,5.34,1.98
M. Niang,France 1,1573,0.34,0.4,1.77,2.4,0,0.06,0,0.17,0.51,0.63,0.23,3.55,0.92
João Batxi,Portugal 1,362,0.25,0.07,0.75,1.49,0.29,1.24,0,3.48,2.24,1.99,1.24,5.22,3.98
M. Lahdo,Sweden1,442,0.2,0.25,2.44,4.07,0.12,0.41,0,1.43,2.24,1.63,1.22,5.7,2.85
L. Blas,France 1,2990,0.21,0.33,2.92,2.53,0.15,0.36,0.03,1.02,2.26,2.14,0.75,7.59,3.49
Y. Cathline,France 1,1175,0.08,0.11,1.76,1.99,0.03,0.23,0.08,0.31,2.6,3.37,0.38,7.74,4.06
Vitinha,Portugal 1,1209,0.52,0.42,3.28,5.36,0.08,0.45,0.3,1.04,1.56,1.64,0.97,4.91,1.49
Vitinha,France 1,513,0.35,0.85,4.56,7.54,0,0.18,0.18,0.35,0.88,0.7,1.05,2.98,1.4
M. Johnston,Portugal 1,1547,0.06,0.12,1.63,1.75,0.14,0.35,0,1.28,2.21,1.51,0.81,5.93,3.49
J. Tagueu,Portugal 1,1065,0.08,0.52,2.79,3.13,0.03,0.25,0,0.51,0.68,0.68,0.42,1.86,0.59
K. Yakob,Sweden1,1072,0.34,0.31,2.69,2.94,0.04,0.42,0,0.76,2.27,0.84,1.85,5.54,4.87
T. Dallinga,France 1,2480,0.44,0.38,2,3.7,0.07,0.22,0.04,0.58,0.8,0.87,0.51,0.69,1.13
W. Odobert,France 1,1879,0.19,0.14,1.34,2.06,0.07,0.34,0.14,0.67,1.25,1.53,0.34,6.47,2.54
L. Bengtsson,Sweden1,992,0.09,0.27,2.45,4.08,0.13,0.45,0.09,1.45,3.27,2.63,1.63,5.44,3.45
F. Etim,Portugal 1,550,0.33,0.59,3.11,5.4,0.16,0.82,0.16,1.47,1.31,0,1.64,3.76,1.47
I. Ugbo,France 1,995,0.18,0.21,1.36,2.08,0.05,0.18,0,0.27,0.18,0.09,0.27,1.54,0.72
F. Sotoca,France 1,3239,0.19,0.3,2.25,3.61,0.16,0.75,0.11,1.19,3.61,3.08,1.36,1.61,5.47
Joca,Portugal 1,425,0,0.08,1.69,2.33,0.08,0.21,0,0.42,2.33,1.69,1.27,4.02,2.75
P. Liza,Portugal 1,472,0.19,0.23,0.76,2.1,0,0,0,0.38,0.38,0.38,0.19,1.14,0.95
Álvaro Djaló,Portugal 1,787,0.23,0.3,2.97,3.55,0.19,0.91,0.34,1.03,2.63,2.29,1.14,7.55,4.57
S. Boufal,France 1,882,0.41,0.31,2.14,3.27,0.21,0.92,0,1.63,3.27,3.16,1.22,10.2,5.71
E. Rashani,France 1,2279,0.12,0.29,1.26,3.28,0.09,0.51,0.04,0.67,1.86,2.69,0.79,2.69,2.53
P. Sejdiu,Sweden1,984,0.37,0.23,1.92,4.21,0.09,0.46,0,0.82,2.2,1.28,1.65,6.22,1.92
Anderson Silva,Portugal 1,1521,0.24,0.37,3.08,4.08,0.01,0.06,0.12,0.12,0.41,0.71,0.18,4.08,0.95
Toni Martínez,Portugal 1,1297,0.35,0.5,3.12,4.72,0.18,0.35,0,0.69,0.76,1.18,0.62,1.6,0.56
A. Issah,Portugal 1,1513,0.24,0.22,1.96,3.15,0.13,0.42,0.06,0.59,2.08,1.67,1.13,3.87,2.5
K. Andrić,France 1,1563,0.23,0.29,1.38,2.02,0.06,0.23,0,0.75,0.4,0.06,0.58,1.38,1.73
Paulinho,Portugal 1,1491,0.3,0.37,2.05,4.53,0.14,0.54,0,0.66,0.97,0.85,0.85,1.69,1.51
O. Aga,Sweden1,282,0.64,0.51,2.23,4.47,0.01,0,0,0.64,0.96,0,0.64,0.32,1.6
Marlon,Portugal 1,427,0,0.12,1.48,2.53,0.06,0.21,0,1.05,2.53,0.84,0.84,5.06,3.58
Cassiano,Portugal 1,988,0.18,0.23,1,1.55,0.01,0,0,0.18,0.55,0.55,0.18,1.46,0.73
Abel Ruiz,Portugal 1,2230,0.32,0.32,1.9,5.53,0.13,0.57,0.08,1.17,1.25,1.53,1.33,2.46,1.37
L. Singh,Portugal 1,734,0,0.08,1.1,2.33,0.02,0.25,0,0.86,1.23,1.35,0,3.31,2.94
R. Nouri,France 1,1805,0.05,0.13,0.75,1.15,0.14,0.45,0,1.15,2.74,3.04,0.15,2.19,4.74
L. Openda,France 1,2651,0.71,0.61,3.23,4.99,0.18,0.68,0.07,0.95,1.87,1.73,0.95,2.95,1.49
T. Moffi,France 1,2833,0.57,0.46,2.22,3.46,0.08,0.38,0.1,0.79,0.67,0.35,0.92,2.67,1.02
M. Sylla,Portugal 1,2510,0.14,0.14,1.4,1.08,0.18,0.54,0.04,1.29,2.29,1.33,0.97,2.73,5.7
J. Guidetti,Sweden1,960,0.47,0.4,2.25,4.97,0.25,0.66,0.09,1.59,1.69,0.38,1.88,0.84,1.41
Nuno Moreira,Portugal 1,1979,0.05,0.18,2.46,2.41,0.19,0.68,0.09,1.18,2.41,1.23,1.27,3.41,5.14
R. Del Castillo,France 1,1514,0.36,0.35,1.9,2.14,0.22,0.71,0.06,1.78,4.93,3.51,1.43,4.93,6.96
E. Guessand,France 1,1376,0.2,0.2,1.18,2.16,0.09,0.39,0.07,0.65,2.81,2.62,0.65,6.08,2.55
K. Diatta,France 1,2178,0.17,0.22,1.49,2.98,0.12,0.5,0,0.95,2.73,2.56,1.2,3.84,4.63
O. Alfonsi,Sweden1,1215,0.15,0.29,1.33,1.93,0.05,0.15,0,0.67,1.56,1.04,0.3,2.89,2.74
L. Olden Larsen,Sweden1,916,0.39,0.3,3.34,4.62,0.11,0.2,0.2,0.98,2.95,2.26,1.87,4.42,3.93
F. Honorat,France 1,2697,0.2,0.17,1.54,2.7,0.32,0.83,0.1,2.47,4.37,3.97,1.13,1.97,4.87
V. Berisha,Sweden1,1110,0.32,0.32,1.7,3.81,0.08,0.73,0.08,1.14,0.73,1.14,0.81,0.49,1.38
Rodrigo Martins,Portugal 1,1533,0.18,0.23,2.29,3.05,0.06,0.29,0.06,0.29,2.11,2.41,0.76,5.34,2.41
R. Boženík,Portugal 1,1064,0.34,0.29,2.62,2.79,0.02,0,0,0.59,0.25,0.25,0.17,1.69,0.85
N. Shamoun,Sweden1,1246,0.22,0.32,1.88,4.41,0.04,0.43,0.07,0.72,2.96,1.73,1.81,3.47,3.54
T. Ali,Sweden1,2620,0.1,0.19,1.96,3.81,0.07,0.31,0.03,0.82,3.19,1.92,1.65,8.28,4.09
B. Kimpioka,Sweden1,659,0.14,0.39,1.91,5.19,0.03,0,0.14,0.55,0.41,0.55,0.55,1.78,0.14
O. Johansson,Sweden1,2577,0.1,0.15,1.19,2.79,0.27,0.63,0,1.78,3.91,3.21,1.26,2.58,6.85
D. Olsson,Sweden1,524,0.34,0.16,1.03,3.78,0.05,0.34,0,0.52,2.92,1.72,0.86,1.37,2.75
Y. Njie,Portugal 1,2305,0.51,0.51,2.77,3.16,0.06,0.23,0,0.47,0.94,0.27,0.62,2.73,1.41
Alexandre Guedes,Portugal 1,870,0.1,0.37,1.97,3,0.01,0.21,0,0.31,0.41,0.52,0.31,1.45,1.24
